prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_year_norm,risk_cum_raw,risk_cum_norm,risk_final,half_life_years,decay_alpha,blend_prev_weight
Aomori,2011,1363000.0,1,567280.0,292855483000.0,0.4161995597945708,214860.95597945707,0.19555724769757718,0.7887013939838591,0.9810336173914924,0.0,0.4312001586057518,0.46205012834272635,0.20975060030402892,0.7023150683991948,0.5821825983709605,3,0.2062994740159002,0.5
Aomori,2012,1350000.0,1,9106.0,215872000.0,0.006745185185185185,159.9051851851852,0.0031693206275286746,0.0005869723602684744,0.4059742357187921,0.0,0.1240107951549077,0.1328830768580435,0.19206252359953943,0.6430464458395284,0.38796476134878594,3,0.2062994740159002,0.5
Aomori,2013,1335000.0,1,19679.0,269310000.0,0.014740823970037453,201.73033707865167,0.006926184558671417,0.0007405021416640185,0.4244368212087259,0.0,0.13217937555368775,0.1416360736886524,0.17970866165526395,0.6016515337209232,0.3716438037047878,3,0.2062994740159002,0.5
Aomori,2014,1321000.0,2,5010.0,8062972000.0,0.0037925813777441334,6103.688115064345,0.0017819979825706746,0.02240512848343758,0.6965026311742534,0.2,0.21019818794007547,0.22523669756791428,0.18599863489081453,0.622727768058692,0.42398223281330316,3,0.2062994740159002,0.5
Aomori,2015,1308000.0,1,865.0,273962000.0,0.0006613149847094802,209.45107033639144,0.0003107281957116531,0.0007688430426676382,0.4274233272354869,0.0,0.12844450790764422,0.13763399706424345,0.17412524876674215,0.5829428184313415,0.36028840774779247,3,0.2062994740159002,0.5
Chiba,1961,2306010.0,1,2020.0,1117152.915610286,0.0008759719168607248,0.48445276282855926,0.0004115877902566894,1.7783061963046845e-06,0.031565520107051985,0.0,0.009757767485295277,0.010455881402032085,0.002013022299785869,0.006234860929962337,0.008345371165997212,3,0.2062994740159002,0.5
Chiba,1965,2622618.0,1,1330.0,4037235.784136182,0.0005071268480579329,1.539391472237353,0.0002382807196833812,5.650725114322529e-06,0.07446390105691841,0.0,0.02250596682085389,0.024116143397712494,0.006240705975519225,0.020400843600938964,0.02225849349932573,3,0.2062994740159002,0.5
Chiba,1966,2701770.0,1,520.0,442436.7982614994,0.00019246642016159776,0.16375812828682657,9.043306874131518e-05,6.011155608390592e-07,0.012117707534363153,0.0,0.0036986154084278663,0.003963230741102249,0.0057162740286274966,0.018643594373798977,0.011303412557450612,3,0.2062994740159002,0.5
Chiba,1972,3523128.6,1,500.0,841018571.4285715,0.00014191931569003754,238.71356027951163,6.668279703411007e-05,0.0008762584011461892,0.43782606856995754,0.0,0.13139449852891114,0.14079504308420202,0.031643625638288236,0.1055201068515355,0.12315757496786875,3,0.2062994740159002,0.5
Chiba,1980,4618168.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02511556231315332,0.08364608811411002,0.04182304405705501,3,0.2062994740159002,0.5
